periodyear,industry__name,emp,female,male,age45p,age50p,community__name,community__gnis_feature_id,community__census_code,community__census_area__name,community__census_area__gnis_feature_id,community__census_area__census_code,community__census_area__county_code,community__census_area__historical,community__census_area__notes,community__alaska_native_regional_corporation__name,community__latitude,community__longitude,community__aea_energy_region__name,community__dcra_community_id
2006,Educational and Health Services,479,343,136,201,139,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2006,State Government,195,95,100,85,51,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2006,Local Government,235,133,102,120,86,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2006,Other,39,13,26,23,18,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2007,Natural Resources and Mining,48,7,41,19,12,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2007,Construction,117,18,99,28,22,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2007,Manufacturing,4,1,3,0,0,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2007,"Trade, Transportation and Utilities",362,125,237,103,59,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2007,Information,17,7,10,5,4,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2007,Financial Activities,57,24,33,19,13,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2007,Professional and Business Services,69,28,41,17,10,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
